func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
MASCULINO;33;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;44;1980,97;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Comércio;44;1379,6;NAO
MASCULINO;30;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Indústria;40;1568,88;NAO
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Indústria;44;1373,84;SIM
MASCULINO;36;INDIGENA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1000,0;NAO
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;2653,19;SIM
MASCULINO;21;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;1000 OU MAIS;Serviços;0;998,0;NAO
MASCULINO;29;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;40;4323,12;SIM
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1157,94;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1475,43;SIM
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;SE;NAO;DE 20 A 49;Serviços;35;2866,24;NAO
FEMININO;37;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;36;1003,75;NAO
FEMININO;30;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;983,17;NAO
MASCULINO;39;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1056,66;NAO
MASCULINO;22;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 500 A 999;Indústria;44;1274,27;NAO
FEMININO;39;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;44;3894,71;NAO
MASCULINO;24;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1111,8;NAO
FEMININO;29;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 20 A 49;Serviços;44;1200,0;NAO
MASCULINO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;ATE 4;Serviços;44;1489,15;SIM
MASCULINO;30;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 250 A 499;Serviços;44;891,17;NAO
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1022,97;NAO
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1599,68;SIM
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;1614,37;SIM
MASCULINO;24;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;SE;NAO;ATE 4;Serviços;6;642,0;NAO
FEMININO;44;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;889,81;NAO
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1322,87;NAO
FEMININO;19;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1047,27;NAO
FEMININO;34;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;2630,69;SIM
MASCULINO;26;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;DE 500 A 999;Indústria;44;901,37;NAO
MASCULINO;29;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;3404,02;SIM
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 100 A 249;Indústria;44;1334,13;NAO
FEMININO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1714,38;SIM
FEMININO;31;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;4415,36;NAO
MASCULINO;21;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Serviços;44;1150,0;NAO
MASCULINO;24;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 100 A 249;Serviços;1;1258,04;NAO
FEMININO;47;PRETA-PARDA;SUPERIOR_COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;2753,59;NAO
MASCULINO;52;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;38;1666,26;SIM
FEMININO;37;PRETA-PARDA;SUPERIOR_COMPLETO;MA;NAO;1000 OU MAIS;Serviços;36;2970,42;NAO
MASCULINO;23;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Agricultura;44;998,41;NAO
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1374,91;NAO
FEMININO;58;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1543,01;NAO
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;588,07;NAO
MASCULINO;23;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PB;NAO;DE 500 A 999;Serviços;44;1198,73;NAO
MASCULINO;27;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;3490,19;SIM
MASCULINO;25;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;DE 50 A 99;Serviços;44;2983,0;NAO
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1446,09;NAO
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Construçao civil;44;1405,99;NAO
FEMININO;34;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1204,36;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1632,21;SIM
FEMININO;33;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 50 A 99;Indústria;44;4000,0;NAO
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 250 A 499;Comércio;44;1417,21;NAO
MASCULINO;25;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 10 A 19;Indústria;44;1402,58;NAO
MASCULINO;37;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;997,99;NAO
FEMININO;24;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2573,61;SIM
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 5 A 9;Serviços;44;3236,32;NAO
MASCULINO;41;PRETA-PARDA;SUPERIOR_COMPLETO;RN;NAO;DE 50 A 99;Serviços;44;1775,06;NAO
FEMININO;34;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Comércio;30;1913,88;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1174,72;NAO
MASCULINO;25;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;923,25;NAO
MASCULINO;45;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1680,1;SIM
MASCULINO;27;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Construçao civil;44;1030,0;NAO
FEMININO;33;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Comércio;44;1518,55;SIM
MASCULINO;23;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 250 A 499;Agricultura;44;1108,83;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Serviços;44;2111,99;SIM
FEMININO;19;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;ATE 4;Comércio;36;523,18;NAO
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1813,02;SIM
MASCULINO;31;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Indústria;44;1007,02;NAO
FEMININO;35;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 250 A 499;Serviços;44;513,92;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1026,46;NAO
FEMININO;18;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1116,5;NAO
MASCULINO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PI;NAO;DE 100 A 249;Serviços;44;917,18;NAO
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Serviços;44;2382,82;SIM
MASCULINO;25;SEM INFO;SUPERIOR_INCOMPLETO;PB;NAO;DE 20 A 49;Serviços;16;733,13;NAO
MASCULINO;44;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;1181,19;NAO
MASCULINO;18;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Agricultura;44;5098,63;NAO
MASCULINO;31;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 100 A 249;Comércio;44;1140,92;NAO
MASCULINO;21;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1206,66;NAO
MASCULINO;30;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2480,4;NAO
MASCULINO;49;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1613,31;SIM
MASCULINO;29;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1468,82;SIM
MASCULINO;22;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 250 A 499;Serviços;36;998,0;NAO
FEMININO;38;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;30;4593,02;SIM
FEMININO;40;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;1531,63;SIM
MASCULINO;26;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Construçao civil;44;798,54;NAO
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;2316,85;SIM
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Comércio;44;1870,47;SIM
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Comércio;44;912,69;NAO
MASCULINO;40;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;ATE 4;Agricultura;44;1016,0;NAO
MASCULINO;31;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Agricultura;44;4536,61;NAO
FEMININO;58;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1200,0;NAO
MASCULINO;31;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;DE 10 A 19;Serviços;1;1268,49;SIM
MASCULINO;36;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Serviços;44;2199,22;SIM
MASCULINO;45;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;SE;NAO;1000 OU MAIS;Indústria;44;1413,33;SIM
MASCULINO;24;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Indústria;42;2466,46;SIM
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;20;1106,79;SIM
MASCULINO;70;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;ATE 4;Comércio;40;8609,8;SIM
FEMININO;22;SEM INFO;SUPERIOR_INCOMPLETO;CE;NAO;ATE 4;Comércio;44;1164,33;NAO
FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;40;2692,08;NAO
FEMININO;32;AMARELA-BRANCA;SUPERIOR_COMPLETO;PB;NAO;ATE 4;Serviços;44;1218,41;NAO
FEMININO;21;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1053,92;NAO
MASCULINO;45;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Construçao civil;44;1659,78;NAO
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Indústria;44;1593,75;NAO
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;2066,97;SIM
