;func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano;Label;Score
17;FEMININO;39;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;DE 50 A 99;Comércio;44;1650,0;NAO;SIM;0,6924
18;FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Comércio;0;433,95;NAO;NAO;0,8917
19;FEMININO;57;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;1802,5;SIM;SIM;0,7339
20;MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1010,0;NAO;NAO;0,9
21;MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1357,69;NAO;NAO;0,842
22;MASCULINO;50;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 20 A 49;Construçao civil;44;1746,5;NAO;NAO;0,6996
23;MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Construçao civil;41;3149,01;SIM;NAO;0,5505
24;FEMININO;21;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 100 A 249;Serviços;44;1201,21;NAO;NAO;0,8954
25;FEMININO;34;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;44;1112,8;NAO;NAO;0,8956
26;MASCULINO;22;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Indústria;44;902,2;NAO;NAO;0,8961
27;MASCULINO;31;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Comércio;43;6496,6;SIM;SIM;0,5996
28;FEMININO;34;PRETA-PARDA;SUPERIOR_COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;360,14;NAO;NAO;0,9145
29;FEMININO;34;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Comércio;44;2138,98;NAO;SIM;0,6618
30;MASCULINO;51;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Construçao civil;44;1198,23;NAO;NAO;0,9043
31;FEMININO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1111,11;NAO;NAO;0,8939
32;MASCULINO;49;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;833,33;NAO;NAO;0,8983
33;FEMININO;37;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 50 A 99;Serviços;44;668,57;NAO;NAO;0,9159
34;MASCULINO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1515,56;NAO;SIM;0,6367
35;FEMININO;37;SEM INFO;SUPERIOR_COMPLETO;AL;NAO;ATE 4;Serviços;44;5272,54;SIM;SIM;0,6247
36;MASCULINO;23;SEM INFO;MEDIO COMPLETO;SE;NAO;DE 50 A 99;Serviços;44;1036,32;NAO;NAO;0,8981
37;FEMININO;34;SEM INFO;SUPERIOR_COMPLETO;AL;NAO;DE 50 A 99;Serviços;1;1303,83;SIM;NAO;0,714
38;MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;36;2081,82;NAO;SIM;0,688
39;FEMININO;54;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1873,78;SIM;SIM;0,7344
40;FEMININO;58;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Indústria;44;1607,52;SIM;SIM;0,6646
41;FEMININO;42;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 250 A 499;Serviços;36;6986,1;NAO;SIM;0,7193
42;FEMININO;34;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1010,31;NAO;NAO;0,8943
43;FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;37;1170,84;NAO;NAO;0,8714
44;MASCULINO;40;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Comércio;44;1191,78;NAO;NAO;0,8997
45;MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1562,79;NAO;SIM;0,6483
46;MASCULINO;28;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 250 A 499;Indústria;34;2121,87;SIM;SIM;0,7232
47;FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;748,53;NAO;NAO;0,8974
48;FEMININO;41;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1709,83;SIM;SIM;0,655
49;FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;1995,9;NAO;SIM;0,7141
50;MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1224,88;NAO;NAO;0,8944
51;MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2127,12;SIM;SIM;0,6215
52;MASCULINO;16;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Comércio;36;648,53;NAO;NAO;0,9069
53;MASCULINO;30;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Serviços;44;1084,91;NAO;NAO;0,8981
54;MASCULINO;51;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1578,01;NAO;SIM;0,6167
55;MASCULINO;44;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Serviços;44;2426,19;SIM;SIM;0,573
56;FEMININO;24;AMARELA-BRANCA;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;1030,0;NAO;NAO;0,8946
57;MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1390,6;NAO;NAO;0,8163
58;MASCULINO;40;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;36;1938,04;NAO;SIM;0,6368
59;MASCULINO;33;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1126,61;NAO;NAO;0,8988
60;MASCULINO;19;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;SE;NAO;1000 OU MAIS;Indústria;44;1127,51;NAO;NAO;0,8913
61;MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Comércio;44;1487,55;NAO;SIM;0,5277
62;FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;998,0;NAO;NAO;0,8947
63;FEMININO;28;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 500 A 999;Serviços;44;2629,1;SIM;SIM;0,7072
64;FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1090,55;NAO;NAO;0,8929
65;FEMININO;48;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Serviços;40;1727,72;SIM;SIM;0,7188
66;MASCULINO;35;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 10 A 19;Agricultura;44;1635,14;NAO;SIM;0,5489
67;MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1429,0;NAO;NAO;0,5693
68;MASCULINO;50;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PB;NAO;DE 20 A 49;Comércio;44;1711,57;SIM;SIM;0,642
69;MASCULINO;27;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Serviços;44;3470,87;SIM;SIM;0,6195
70;FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2618,35;SIM;SIM;0,7125
71;FEMININO;28;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1299,98;NAO;NAO;0,8856
72;MASCULINO;46;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;999,98;NAO;NAO;0,899
73;MASCULINO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1952,48;SIM;SIM;0,5633
74;MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Comércio;44;1802,47;SIM;SIM;0,5796
75;MASCULINO;19;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1205,0;NAO;NAO;0,8972
76;FEMININO;45;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;1490,81;SIM;SIM;0,7276
77;MASCULINO;19;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1103,43;NAO;NAO;0,8984
78;FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;3;3576,52;SIM;SIM;0,6796
79;MASCULINO;29;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 100 A 249;Indústria;44;1174,83;NAO;NAO;0,8985
80;FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;PI;NAO;ATE 4;Comércio;44;1438,12;NAO;NAO;0,5732
81;FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 5 A 9;Comércio;44;1202,97;NAO;NAO;0,8938
82;FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;40;8943,52;SIM;SIM;0,6734
83;MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;44;4025,16;NAO;SIM;0,6112
84;MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1094,0;NAO;NAO;0,8935
85;FEMININO;33;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1089,97;NAO;NAO;0,8951
86;FEMININO;44;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;20;997,5;NAO;NAO;0,756
87;FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1195,54;NAO;NAO;0,8919
88;MASCULINO;23;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1421,77;NAO;NAO;0,7617
89;FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 20 A 49;Serviços;14;853,57;NAO;NAO;0,7403
90;MASCULINO;23;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Serviços;44;1476,66;NAO;SIM;0,58
91;MASCULINO;29;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Indústria;40;1358,46;SIM;NAO;0,7594
92;MASCULINO;34;SEM INFO;SUPERIOR_COMPLETO;MA;NAO;ATE 4;Comércio;40;2844,15;NAO;SIM;0,5707
93;MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 100 A 249;Agricultura;44;728,28;NAO;NAO;0,9175
94;MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 100 A 249;Serviços;44;1047,4;NAO;NAO;0,8973
95;FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Indústria;44;998,8;NAO;NAO;0,89
96;MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;44;1721,15;SIM;SIM;0,6633
97;MASCULINO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;ATE 4;Comércio;44;1567,98;SIM;SIM;0,5725
98;MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1447,65;SIM;NAO;0,5765
99;MASCULINO;27;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1122,67;NAO;NAO;0,8972
100;MASCULINO;39;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Serviços;44;2978,11;NAO;SIM;0,592
101;FEMININO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 5 A 9;Agricultura;44;998,01;NAO;NAO;0,8994
102;MASCULINO;34;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 10 A 19;Serviços;44;998,0;NAO;NAO;0,8984
103;MASCULINO;27;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 250 A 499;Comércio;0;1138,74;NAO;NAO;0,7805
104;MASCULINO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Indústria;35;1887,53;SIM;SIM;0,5866
105;FEMININO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;NAO;DE 50 A 99;Serviços;24;475,0;NAO;NAO;0,8922
106;MASCULINO;21;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;NAO;1000 OU MAIS;Serviços;36;1395,43;SIM;NAO;0,5371
107;MASCULINO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;AL;NAO;DE 100 A 249;Comércio;44;4405,26;SIM;SIM;0,6223
108;MASCULINO;65;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Comércio;44;2608,98;SIM;SIM;0,7569
109;FEMININO;31;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;3121,93;SIM;SIM;0,5976
110;MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 5 A 9;Comércio;42;1399,57;NAO;NAO;0,8028
111;FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Serviços;44;998,0;NAO;NAO;0,894
112;FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1135,81;NAO;NAO;0,8947
113;MASCULINO;22;SEM INFO;ANALFABETO-FUND_INCOMPLETO;PE;NAO;ATE 4;Indústria;44;887,78;NAO;NAO;0,8961
114;MASCULINO;27;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Construçao civil;44;1568,6;NAO;NAO;0,6612
115;MASCULINO;23;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;BA;NAO;DE 50 A 99;Construçao civil;44;1180,91;NAO;NAO;0,9027
116;MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;36;1054,15;NAO;NAO;0,8794
117;MASCULINO;55;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;AL;NAO;DE 20 A 49;Construçao civil;44;14455,2;SIM;NAO;0,582
118;MASCULINO;33;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Agricultura;44;1117,76;SIM;NAO;0,9
119;MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;998,01;NAO;NAO;0,8977
120;FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;1334,75;SIM;NAO;0,6016
121;MASCULINO;30;SEM INFO;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1400,0;NAO;NAO;0,8215
122;FEMININO;40;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 500 A 999;Administraçao pública;40;5791,98;NAO;SIM;0,6647
123;MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1002,58;NAO;NAO;0,9009
124;MASCULINO;34;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 20 A 49;Construçao civil;44;2245,5;NAO;NAO;0,5712
125;MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;ATE 4;Serviços;44;1536,27;SIM;SIM;0,6106
126;FEMININO;29;INDIGENA;MEDIO COMPLETO;MA;NAO;ATE 4;Serviços;44;1885,5;SIM;SIM;0,7057
127;MASCULINO;62;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2433,17;SIM;SIM;0,7437
128;FEMININO;42;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;1246,2;NAO;NAO;0,8866
129;MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 20 A 49;Comércio;44;1373,83;NAO;NAO;0,8339
130;MASCULINO;51;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1676,7;NAO;NAO;0,6945
131;MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;2034,57;SIM;SIM;0,6512
132;MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;33;872,73;NAO;NAO;0,8721
133;MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;44;2754,33;NAO;SIM;0,6125
134;FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;44;1718,45;SIM;SIM;0,7181
135;MASCULINO;53;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 20 A 49;Comércio;44;1245,41;NAO;NAO;0,8909
136;MASCULINO;18;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;26;928,82;NAO;NAO;0,821
137;MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1255,53;NAO;NAO;0,8906
138;MASCULINO;26;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Construçao civil;44;1124,43;NAO;NAO;0,9027
139;MASCULINO;30;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Indústria;44;1351,12;NAO;NAO;0,8528
140;FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Serviços;32;2093,04;SIM;SIM;0,7587
141;MASCULINO;42;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1555,92;NAO;NAO;0,7291
142;FEMININO;26;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Serviços;40;2645,66;SIM;SIM;0,5747
143;MASCULINO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Indústria;30;3940,82;SIM;SIM;0,6274
144;FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1135,47;NAO;NAO;0,8976
145;MASCULINO;29;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1198,89;NAO;NAO;0,8992
146;FEMININO;23;PRETA-PARDA;SUPERIOR_INCOMPLETO;PI;NAO;DE 250 A 499;Serviços;44;1825,17;SIM;SIM;0,7027
147;FEMININO;31;PRETA-PARDA;SUPERIOR_INCOMPLETO;SE;NAO;DE 5 A 9;Serviços;44;1031,26;NAO;NAO;0,8947
148;MASCULINO;29;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;5656,25;NAO;SIM;0,6125
149;FEMININO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Serviços;40;4369,37;SIM;SIM;0,6089
150;MASCULINO;35;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1100,0;NAO;NAO;0,9002
151;MASCULINO;18;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Construçao civil;44;1245,21;NAO;NAO;0,8946
152;MASCULINO;32;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1861,15;SIM;SIM;0,5764
153;FEMININO;33;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;998,0;NAO;NAO;0,8982
154;FEMININO;39;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;44;980,51;NAO;NAO;0,8968
155;MASCULINO;26;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1864,96;SIM;SIM;0,6357
156;FEMININO;34;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Comércio;42;4085,81;NAO;SIM;0,612
157;FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;1000 OU MAIS;Serviços;36;1331,81;SIM;NAO;0,5347
158;FEMININO;41;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;42;2236,11;SIM;SIM;0,6683
159;MASCULINO;37;SEM INFO;SUPERIOR_INCOMPLETO;CE;NAO;DE 50 A 99;Comércio;44;4364,9;SIM;SIM;0,6341
160;MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1922,76;SIM;SIM;0,6269
161;MASCULINO;58;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 250 A 499;Serviços;42;3050,13;SIM;SIM;0,7337
162;MASCULINO;46;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;36;1584,66;NAO;SIM;0,6391
163;MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1033,89;NAO;NAO;0,9003
164;FEMININO;32;SEM INFO;MEDIO COMPLETO;BA;SIM;DE 100 A 249;Comércio;40;963,01;NAO;NAO;0,8953
165;FEMININO;42;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;16;5994,44;SIM;SIM;0,7259
166;FEMININO;23;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 20 A 49;Serviços;20;1753,72;NAO;SIM;0,7265
167;MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;40;1877,83;SIM;SIM;0,6701
168;FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;1918,79;SIM;SIM;0,6995
169;MASCULINO;46;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1094,28;NAO;NAO;0,8981
170;FEMININO;33;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 50 A 99;Serviços;24;556,35;NAO;NAO;0,8973
171;MASCULINO;47;SEM INFO;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;3209,5;NAO;SIM;0,5444
172;MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;40;2433,79;SIM;SIM;0,7001
173;MASCULINO;49;PRETA-PARDA;SUPERIOR_INCOMPLETO;PI;NAO;1000 OU MAIS;Serviços;44;1806,69;NAO;SIM;0,661
174;MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Construçao civil;44;1428,37;NAO;NAO;0,6788
175;MASCULINO;33;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1650,35;SIM;SIM;0,559
176;MASCULINO;34;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1233,0;NAO;NAO;0,8905
177;MASCULINO;23;SEM INFO;SUPERIOR_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;1235,1;NAO;NAO;0,8764
178;FEMININO;60;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;2108,94;SIM;SIM;0,7673
179;MASCULINO;32;AMARELA-BRANCA;MEDIO COMPLETO;PB;NAO;DE 20 A 49;Indústria;44;1300,06;NAO;NAO;0,8877
180;FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1203,0;NAO;NAO;0,8957
