func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Construçao civil;41;3149,01;SIM
FEMININO;21;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 100 A 249;Serviços;44;1201,21;NAO
FEMININO;34;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;44;1112,8;NAO
MASCULINO;22;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Indústria;44;902,2;NAO
MASCULINO;31;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Comércio;43;6496,6;SIM
FEMININO;34;PRETA-PARDA;SUPERIOR_COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;360,14;NAO
FEMININO;34;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Comércio;44;2138,98;NAO
MASCULINO;51;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Construçao civil;44;1198,23;NAO
FEMININO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1111,11;NAO
MASCULINO;49;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;833,33;NAO
FEMININO;37;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 50 A 99;Serviços;44;668,57;NAO
MASCULINO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1515,56;NAO
FEMININO;37;SEM INFO;SUPERIOR_COMPLETO;AL;NAO;ATE 4;Serviços;44;5272,54;SIM
MASCULINO;23;SEM INFO;MEDIO COMPLETO;SE;NAO;DE 50 A 99;Serviços;44;1036,32;NAO
FEMININO;34;SEM INFO;SUPERIOR_COMPLETO;AL;NAO;DE 50 A 99;Serviços;1;1303,83;SIM
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;36;2081,82;NAO
FEMININO;54;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1873,78;SIM
FEMININO;58;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Indústria;44;1607,52;SIM
FEMININO;42;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 250 A 499;Serviços;36;6986,1;NAO
FEMININO;34;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1010,31;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;37;1170,84;NAO
MASCULINO;40;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Comércio;44;1191,78;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1562,79;NAO
MASCULINO;28;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 250 A 499;Indústria;34;2121,87;SIM
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;748,53;NAO
FEMININO;41;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1709,83;SIM
FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;1995,9;NAO
MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1224,88;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2127,12;SIM
MASCULINO;16;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Comércio;36;648,53;NAO
MASCULINO;30;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Serviços;44;1084,91;NAO
MASCULINO;51;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1578,01;NAO
MASCULINO;44;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Serviços;44;2426,19;SIM
FEMININO;24;AMARELA-BRANCA;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;1030,0;NAO
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1390,6;NAO
MASCULINO;40;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;36;1938,04;NAO
MASCULINO;33;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1126,61;NAO
MASCULINO;19;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;SE;NAO;1000 OU MAIS;Indústria;44;1127,51;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Comércio;44;1487,55;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;998,0;NAO
FEMININO;28;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 500 A 999;Serviços;44;2629,1;SIM
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1090,55;NAO
FEMININO;48;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Serviços;40;1727,72;SIM
MASCULINO;35;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 10 A 19;Agricultura;44;1635,14;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1429,0;NAO
MASCULINO;50;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PB;NAO;DE 20 A 49;Comércio;44;1711,57;SIM
MASCULINO;27;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Serviços;44;3470,87;SIM
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2618,35;SIM
FEMININO;28;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1299,98;NAO
MASCULINO;46;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;999,98;NAO
MASCULINO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1952,48;SIM
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Comércio;44;1802,47;SIM
MASCULINO;19;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1205,0;NAO
FEMININO;45;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;1490,81;SIM
MASCULINO;19;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1103,43;NAO
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;3;3576,52;SIM
MASCULINO;29;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 100 A 249;Indústria;44;1174,83;NAO
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;PI;NAO;ATE 4;Comércio;44;1438,12;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 5 A 9;Comércio;44;1202,97;NAO
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;40;8943,52;SIM
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;44;4025,16;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1094,0;NAO
FEMININO;33;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1089,97;NAO
FEMININO;44;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;20;997,5;NAO
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1195,54;NAO
MASCULINO;23;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1421,77;NAO
FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 20 A 49;Serviços;14;853,57;NAO
MASCULINO;23;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Serviços;44;1476,66;NAO
MASCULINO;29;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Indústria;40;1358,46;SIM
MASCULINO;34;SEM INFO;SUPERIOR_COMPLETO;MA;NAO;ATE 4;Comércio;40;2844,15;NAO
MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 100 A 249;Agricultura;44;728,28;NAO
MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 100 A 249;Serviços;44;1047,4;NAO
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Indústria;44;998,8;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;44;1721,15;SIM
MASCULINO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;ATE 4;Comércio;44;1567,98;SIM
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1447,65;SIM
MASCULINO;27;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1122,67;NAO
MASCULINO;39;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Serviços;44;2978,11;NAO
FEMININO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 5 A 9;Agricultura;44;998,01;NAO
MASCULINO;34;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 10 A 19;Serviços;44;998,0;NAO
MASCULINO;27;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 250 A 499;Comércio;0;1138,74;NAO
MASCULINO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Indústria;35;1887,53;SIM
FEMININO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;NAO;DE 50 A 99;Serviços;24;475,0;NAO
MASCULINO;21;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;NAO;1000 OU MAIS;Serviços;36;1395,43;SIM
MASCULINO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;AL;NAO;DE 100 A 249;Comércio;44;4405,26;SIM
MASCULINO;65;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Comércio;44;2608,98;SIM
FEMININO;31;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;3121,93;SIM
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 5 A 9;Comércio;42;1399,57;NAO
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Serviços;44;998,0;NAO
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1135,81;NAO
MASCULINO;22;SEM INFO;ANALFABETO-FUND_INCOMPLETO;PE;NAO;ATE 4;Indústria;44;887,78;NAO
MASCULINO;27;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Construçao civil;44;1568,6;NAO
MASCULINO;23;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;BA;NAO;DE 50 A 99;Construçao civil;44;1180,91;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;36;1054,15;NAO
MASCULINO;55;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;AL;NAO;DE 20 A 49;Construçao civil;44;14455,2;SIM
MASCULINO;33;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Agricultura;44;1117,76;SIM
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;998,01;NAO
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;1334,75;SIM
MASCULINO;30;SEM INFO;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1400,0;NAO
FEMININO;40;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 500 A 999;Administraçao pública;40;5791,98;NAO
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1002,58;NAO
MASCULINO;34;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 20 A 49;Construçao civil;44;2245,5;NAO
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;ATE 4;Serviços;44;1536,27;SIM
FEMININO;29;INDIGENA;MEDIO COMPLETO;MA;NAO;ATE 4;Serviços;44;1885,5;SIM
MASCULINO;62;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2433,17;SIM
FEMININO;42;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;1246,2;NAO
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 20 A 49;Comércio;44;1373,83;NAO
MASCULINO;51;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1676,7;NAO
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;2034,57;SIM
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;33;872,73;NAO
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;44;2754,33;NAO
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;44;1718,45;SIM
MASCULINO;53;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 20 A 49;Comércio;44;1245,41;NAO
MASCULINO;18;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;26;928,82;NAO
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1255,53;NAO
MASCULINO;26;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Construçao civil;44;1124,43;NAO
MASCULINO;30;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Indústria;44;1351,12;NAO
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Serviços;32;2093,04;SIM
MASCULINO;42;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1555,92;NAO
FEMININO;26;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Serviços;40;2645,66;SIM
MASCULINO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Indústria;30;3940,82;SIM
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1135,47;NAO
MASCULINO;29;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1198,89;NAO
FEMININO;23;PRETA-PARDA;SUPERIOR_INCOMPLETO;PI;NAO;DE 250 A 499;Serviços;44;1825,17;SIM
FEMININO;31;PRETA-PARDA;SUPERIOR_INCOMPLETO;SE;NAO;DE 5 A 9;Serviços;44;1031,26;NAO
MASCULINO;29;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;5656,25;NAO
FEMININO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Serviços;40;4369,37;SIM
MASCULINO;35;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1100,0;NAO
MASCULINO;18;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Construçao civil;44;1245,21;NAO
MASCULINO;32;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1861,15;SIM
FEMININO;33;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;998,0;NAO
FEMININO;39;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;44;980,51;NAO
MASCULINO;26;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1864,96;SIM
FEMININO;34;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Comércio;42;4085,81;NAO
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;1000 OU MAIS;Serviços;36;1331,81;SIM
FEMININO;41;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;42;2236,11;SIM
MASCULINO;37;SEM INFO;SUPERIOR_INCOMPLETO;CE;NAO;DE 50 A 99;Comércio;44;4364,9;SIM
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1922,76;SIM
MASCULINO;58;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 250 A 499;Serviços;42;3050,13;SIM
MASCULINO;46;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;36;1584,66;NAO
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1033,89;NAO
FEMININO;32;SEM INFO;MEDIO COMPLETO;BA;SIM;DE 100 A 249;Comércio;40;963,01;NAO
FEMININO;42;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;16;5994,44;SIM
FEMININO;23;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 20 A 49;Serviços;20;1753,72;NAO
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;40;1877,83;SIM
FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;1918,79;SIM
MASCULINO;46;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 10 A 19;Indústria;44;1094,28;NAO
FEMININO;33;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 50 A 99;Serviços;24;556,35;NAO
MASCULINO;47;SEM INFO;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;3209,5;NAO
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;40;2433,79;SIM
MASCULINO;49;PRETA-PARDA;SUPERIOR_INCOMPLETO;PI;NAO;1000 OU MAIS;Serviços;44;1806,69;NAO
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Construçao civil;44;1428,37;NAO
MASCULINO;33;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1650,35;SIM
MASCULINO;34;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1233,0;NAO
MASCULINO;23;SEM INFO;SUPERIOR_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;1235,1;NAO
FEMININO;60;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;2108,94;SIM
MASCULINO;32;AMARELA-BRANCA;MEDIO COMPLETO;PB;NAO;DE 20 A 49;Indústria;44;1300,06;NAO
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1203,0;NAO
MASCULINO;65;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Comércio;44;2027,58;SIM
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1097,1;NAO
MASCULINO;35;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;ATE 4;Comércio;44;1015,2;NAO
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;2071,34;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1092,48;NAO
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Indústria;44;1233,59;NAO
FEMININO;27;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 100 A 249;Serviços;1;2900,49;NAO
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Indústria;44;2073,3;NAO
MASCULINO;39;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2434,14;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 100 A 249;Comércio;44;927,35;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 10 A 19;Serviços;36;1913,91;NAO
FEMININO;47;PRETA-PARDA;SUPERIOR_COMPLETO;PB;NAO;ATE 4;Serviços;44;1002,3;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;ATE 4;Serviços;44;1443,12;SIM
FEMININO;26;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;ATE 4;Serviços;44;1059,77;NAO
MASCULINO;54;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1854,68;SIM
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Serviços;44;2008,8;NAO
MASCULINO;21;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;RN;NAO;DE 5 A 9;Serviços;24;517,53;NAO
MASCULINO;37;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Agricultura;44;1025,48;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Comércio;44;1055,55;NAO
MASCULINO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;4999,99;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 10 A 19;Comércio;44;632,55;NAO
MASCULINO;40;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Agricultura;44;1065,57;NAO
FEMININO;39;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1093,01;NAO
MASCULINO;35;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;12;5330,89;SIM
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 20 A 49;Serviços;44;1328,11;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;ATE 4;Comércio;44;1116,64;NAO
FEMININO;43;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;1156,53;NAO
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 5 A 9;Serviços;44;1057,67;NAO
FEMININO;38;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 500 A 999;Serviços;44;2008,45;SIM
MASCULINO;24;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;MA;NAO;DE 20 A 49;Comércio;44;997,95;NAO
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;975,85;NAO
FEMININO;25;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1514,12;SIM
